captured_at,match_id,commence_time,home,away,bookmaker,team,odds
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,marathonbet,Mexico,1.42
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,marathonbet,South Africa,9.3
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,marathonbet,Draw,4.55
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,pinnacle,Mexico,1.41
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,pinnacle,South Africa,8.77
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,pinnacle,Draw,4.62
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,betfair_ex_eu,Mexico,1.44
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,betfair_ex_eu,South Africa,9.8
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,betfair_ex_eu,Draw,4.8
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,everygame,Mexico,1.4
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,everygame,South Africa,8.5
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,everygame,Draw,4.5
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,unibet_fr,Mexico,1.4
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,unibet_fr,South Africa,9.0
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,unibet_fr,Draw,4.6
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,coolbet,Mexico,1.43
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,coolbet,South Africa,9.4
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,coolbet,Draw,4.65
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,sport888,Mexico,1.4
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,sport888,South Africa,8.0
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,sport888,Draw,4.0
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,williamhill,Mexico,1.4
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,williamhill,South Africa,8.0
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,williamhill,Draw,4.2
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,unibet_nl,Mexico,1.4
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,unibet_nl,South Africa,10.0
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,unibet_nl,Draw,4.7
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,leovegas_se,Mexico,1.38
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,leovegas_se,South Africa,9.5
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,leovegas_se,Draw,4.6
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,unibet_se,Mexico,1.4
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,unibet_se,South Africa,10.0
2026-06-09T21:04:29.896388+00:00,80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,unibet_se,Draw,4.7
