team,group,elo,p_r32,p_r16,p_qf,p_sf,p_final,p_champ
Spain,H,2171,0.9859,0.7679,0.5946,0.4891,0.3619,0.2442
Argentina,J,2149,0.9701,0.7001,0.567,0.4365,0.3194,0.2054
France,I,2081,0.9306,0.7071,0.4859,0.3203,0.1777,0.0988
England,L,2046,0.949,0.6453,0.4131,0.2508,0.1271,0.0649
Colombia,K,2027,0.9028,0.6019,0.3588,0.1895,0.1041,0.0476
Brazil,C,2031,0.9218,0.5865,0.3637,0.2093,0.0953,0.0474
Portugal,K,1992,0.8724,0.5373,0.2948,0.1483,0.073,0.0321
Japan,F,1985,0.9031,0.4828,0.2943,0.1551,0.0672,0.0294
Ecuador,E,1990,0.9256,0.5784,0.3049,0.1675,0.0729,0.0294
Morocco,C,1974,0.8754,0.491,0.2772,0.1399,0.0575,0.0243
Germany,E,1977,0.9174,0.5544,0.2772,0.1425,0.064,0.0241
Netherlands,F,1978,0.8944,0.4681,0.2765,0.1372,0.057,0.0236
Switzerland,B,1924,0.9405,0.5734,0.2561,0.0934,0.0378,0.0134
Croatia,L,1931,0.8622,0.4281,0.1906,0.0862,0.0354,0.0124
Mexico,A,1933,0.8966,0.5595,0.2553,0.1048,0.0382,0.0123
Belgium,G,1921,0.8607,0.5102,0.2401,0.0802,0.0314,0.0122
Uruguay,H,1937,0.8669,0.3533,0.1898,0.0964,0.0403,0.0118
Turkey,D,1926,0.7701,0.4685,0.2171,0.0874,0.0332,0.011
Norway,I,1930,0.7565,0.4065,0.2037,0.0919,0.0351,0.01
Australia,D,1892,0.7202,0.3998,0.1698,0.0576,0.0214,0.0066
Canada,B,1876,0.9049,0.4843,0.1928,0.0576,0.0183,0.0062
Senegal,I,1894,0.6955,0.3353,0.1505,0.0563,0.0178,0.0058
Paraguay,D,1882,0.6919,0.3725,0.1456,0.0478,0.017,0.0048
South Korea,A,1875,0.8319,0.4537,0.1832,0.059,0.0168,0.0042
Iran,G,1887,0.8097,0.4291,0.1735,0.0527,0.0183,0.0041
Algeria,J,1859,0.6129,0.2028,0.0871,0.0287,0.0093,0.0029
Austria,J,1856,0.6189,0.2021,0.083,0.0303,0.0098,0.0027
United States,D,1825,0.5782,0.2634,0.087,0.0259,0.0076,0.0019
Ivory Coast,E,1806,0.692,0.26,0.0821,0.0221,0.0046,0.0013
Uzbekistan,K,1816,0.5377,0.1913,0.0636,0.0202,0.0059,0.0011
Scotland,C,1809,0.5718,0.191,0.0683,0.0213,0.0051,0.001
Egypt,G,1787,0.6198,0.2426,0.073,0.0146,0.0048,0.0009
Panama,L,1811,0.6297,0.2109,0.065,0.0188,0.0035,0.0007
Jordan,J,1762,0.4099,0.1016,0.0306,0.0068,0.002,0.0003
Czech Republic,A,1767,0.6448,0.2629,0.0779,0.0163,0.0029,0.0003
South Africa,A,1654,0.3468,0.0883,0.0151,0.0023,0.0006,0.0002
Tunisia,F,1738,0.4199,0.0928,0.0271,0.0059,0.0012,0.0002
Sweden,F,1737,0.4136,0.0857,0.0224,0.0055,0.0011,0.0002
Iraq,I,1747,0.3381,0.0959,0.0274,0.0051,0.0008,0.0001
Saudi Arabia,H,1688,0.3463,0.0697,0.0149,0.0025,0.0004,0.0001
New Zealand,G,1716,0.4463,0.1326,0.0257,0.0042,0.0007,0.0001
Curaçao,E,1603,0.2169,0.0353,0.0034,0.0004,0.0,0.0
Qatar,B,1573,0.3156,0.0481,0.0069,0.0004,0.0,0.0
Cape Verde,H,1647,0.2641,0.0456,0.0077,0.0013,0.0003,0.0
Bosnia and Herzegovina,B,1624,0.4292,0.0832,0.0131,0.0013,0.0002,0.0
DR Congo,K,1753,0.3619,0.1017,0.0232,0.006,0.0011,0.0
Ghana,L,1629,0.2279,0.0325,0.0047,0.0005,0.0,0.0
Haiti,C,1691,0.3016,0.065,0.0147,0.0023,0.0,0.0
