team,elo,p_1st,p_2nd,p_3rd,p_4th,p_advance,group
Mexico,1933.03,0.4689,0.2998,0.157,0.0743,0.8977,A
South Korea,1875.04,0.327,0.3283,0.227,0.1177,0.834,A
Czech Republic,1767.3,0.1408,0.2433,0.3636,0.2523,0.6389,A
South Africa,1654.45,0.0633,0.1286,0.2524,0.5557,0.3539,A
Switzerland,1924.6,0.5048,0.3449,0.1121,0.0382,0.9383,B
Canada,1876.18,0.3984,0.3946,0.1475,0.0595,0.9065,B
Bosnia and Herzegovina,1624.71,0.0599,0.1496,0.4026,0.3879,0.4256,B
Qatar,1573.77,0.0369,0.1109,0.3378,0.5144,0.318,B
Brazil,2031.5,0.5183,0.2922,0.1384,0.0511,0.9232,C
Morocco,1974.84,0.3414,0.3873,0.1878,0.0835,0.8792,C
Scotland,1809.92,0.1005,0.216,0.4057,0.2778,0.5762,C
Haiti,1691.13,0.0398,0.1045,0.2681,0.5876,0.2933,C
Turkey,1926.17,0.3261,0.2725,0.2237,0.1777,0.7751,D
Australia,1892.58,0.2603,0.258,0.254,0.2277,0.7098,D
Paraguay,1882.8,0.2473,0.2576,0.2621,0.233,0.6986,D
United States,1825.0,0.1663,0.2119,0.2602,0.3616,0.5707,D
Ecuador,1990.1,0.4467,0.3382,0.1667,0.0484,0.9267,E
Germany,1977.42,0.4066,0.364,0.1827,0.0467,0.9223,E
Ivory Coast,1806.7,0.1244,0.2382,0.4384,0.199,0.6886,E
Curaçao,1603.21,0.0223,0.0596,0.2122,0.7059,0.2114,E
Japan,1985.86,0.4481,0.3385,0.1478,0.0656,0.9026,F
Netherlands,1978.75,0.4171,0.3568,0.1568,0.0693,0.8979,F
Tunisia,1738.97,0.0678,0.1516,0.3513,0.4293,0.4153,F
Sweden,1737.11,0.067,0.1531,0.3441,0.4358,0.409,F
Belgium,1921.51,0.4295,0.2755,0.1816,0.1134,0.8524,G
Iran,1887.24,0.3203,0.3059,0.2292,0.1446,0.8055,G
Egypt,1787.97,0.1517,0.2454,0.3106,0.2923,0.6181,G
New Zealand,1716.0,0.0985,0.1732,0.2786,0.4497,0.4611,G
Spain,2171.78,0.7632,0.1947,0.0357,0.0064,0.9868,H
Uruguay,1937.96,0.1939,0.5487,0.192,0.0654,0.8639,H
Saudi Arabia,1688.59,0.0257,0.1465,0.4115,0.4163,0.3431,H
Cape Verde,1647.01,0.0172,0.1101,0.3608,0.5119,0.269,H
France,2081.97,0.5774,0.2488,0.1236,0.0502,0.9318,I
Norway,1930.82,0.2142,0.33,0.2926,0.1632,0.7612,I
Senegal,1894.63,0.1571,0.3001,0.3328,0.21,0.7004,I
Iraq,1747.28,0.0513,0.1211,0.251,0.5766,0.3321,I
Argentina,2149.76,0.7491,0.1698,0.0587,0.0224,0.9705,J
Algeria,1859.74,0.1037,0.3207,0.3182,0.2574,0.6237,J
Austria,1856.27,0.1002,0.3204,0.3223,0.2571,0.6175,J
Jordan,1762.8,0.047,0.1891,0.3008,0.4631,0.4066,J
Colombia,2027.0,0.4634,0.3139,0.1522,0.0705,0.8981,K
Portugal,1992.89,0.3709,0.3564,0.1879,0.0848,0.8742,K
Uzbekistan,1816.72,0.1042,0.1953,0.3737,0.3268,0.5318,K
DR Congo,1753.89,0.0615,0.1344,0.2862,0.5179,0.3683,K
England,2046.48,0.5877,0.2643,0.1155,0.0325,0.9485,L
Croatia,1931.42,0.2739,0.4132,0.2301,0.0828,0.8661,L
Panama,1811.81,0.1129,0.2439,0.4388,0.2044,0.638,L
Ghana,1629.76,0.0255,0.0786,0.2156,0.6803,0.2185,L
